IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.135.184.29,443,443,true,ORD,North America,Chicago,219,7.33
35.93.89.151,443,443,true,SEA,North America,Seattle,202,7.33
35.92.120.156,443,443,true,SEA,North America,Seattle,194,7.33
67.226.222.139,80,443,true,CMH,North America,Columbus,215,7.32
44.234.89.124,443,443,true,SEA,North America,Seattle,200,7.31
18.117.111.37,443,443,true,ORD,North America,Chicago,214,7.30
3.132.213.197,443,443,true,ORD,North America,Chicago,216,7.30
3.137.173.199,443,443,true,ORD,North America,Chicago,215,7.30
18.117.168.214,443,443,true,ORD,North America,Chicago,222,7.29
35.94.121.177,443,443,true,SEA,North America,Seattle,193,7.29
35.94.193.160,80,443,true,SEA,North America,Seattle,214,7.28
3.132.212.138,443,443,true,ORD,North America,Chicago,214,7.26
3.142.135.32,443,443,true,ORD,North America,Chicago,216,7.26
13.50.173.22,8443,443,true,ARN,Europe,Stockholm,193,7.25
3.141.104.20,443,443,true,ORD,North America,Chicago,217,7.25
34.217.210.167,443,443,true,SEA,North America,Seattle,214,7.24
18.119.253.169,443,443,true,ORD,North America,Chicago,215,7.24
3.137.210.252,443,443,true,ORD,North America,Chicago,219,7.24
204.110.223.70,80,443,true,CMH,North America,Columbus,215,7.23
3.142.91.19,443,443,true,ORD,North America,Chicago,228,7.23
35.86.93.66,443,443,true,SEA,North America,Seattle,206,7.23
54.212.45.34,443,443,true,SEA,North America,Seattle,200,7.23
13.59.154.117,443,443,true,ORD,North America,Chicago,215,7.22
204.110.220.32,80,443,true,PDX,North America,Portland,219,7.22
13.59.193.150,443,443,true,ORD,North America,Chicago,219,7.22
35.94.14.226,443,443,true,SEA,North America,Seattle,200,7.20
204.110.220.246,80,443,true,PDX,North America,Portland,201,7.20
13.59.157.48,443,443,true,ORD,North America,Chicago,221,7.19
3.124.236.70,443,443,true,FRA,Europe,Frankfurt,168,7.19
18.217.234.56,443,443,true,ORD,North America,Chicago,219,7.19
35.88.214.94,443,443,true,SEA,North America,Seattle,192,7.19
35.85.47.9,443,443,true,SEA,North America,Seattle,195,7.18
3.14.144.196,443,443,true,ORD,North America,Chicago,219,7.16
